robot_count,task_complexity,communication_delay,swarm_density,obstacle_density,battery_level,signal_strength,formation_type,terrain_roughness,task_deadline,robot_speed,sensor_range,collision_probability,energy_efficiency,coordination_overhead,mission_success
40,5.4,211.2,3.49,10.4,77.1,-73.8,Circle,7.9,210.1,4.95,30.7,0.237,1.26,15.4,1
30,4.0,199.0,2.16,1.3,63.3,-109.7,Random,5.9,267.3,3.81,25.9,0.153,1.1,13.0,1
16,8.1,13.2,4.28,21.6,58.7,-61.6,Circle,9.3,174.5,2.1,8.4,0.381,0.59,2.1,0
44,5.1,167.8,3.88,28.6,32.5,-79.8,Grid,6.3,176.6,0.92,3.1,0.241,1.04,21.5,0
9,2.7,488.0,0.42,7.9,39.9,-100.5,Random,8.6,189.6,3.5,25.6,0.424,1.04,24.5,0
22,8.7,436.8,3.14,2.6,96.9,-88.2,Wedge,8.6,89.4,3.78,37.0,0.471,1.22,35.1,0
40,8.9,164.7,1.25,14.3,31.7,-75.7,Wedge,9.3,230.0,1.05,9.7,0.485,0.82,20.1,0
20,5.2,293.9,2.83,25.7,91.1,-111.8,Random,1.6,202.1,2.97,34.9,0.13,1.36,0.3,1
24,1.7,423.6,4.79,16.6,62.2,-33.8,Circle,6.3,253.4,4.94,27.8,0.384,1.12,2.6,0
12,4.5,220.6,4.41,1.4,21.1,-60.1,Grid,5.2,232.9,1.97,18.5,0.219,0.54,10.8,0
12,8.2,9.0,2.08,29.2,52.1,-110.8,Grid,5.4,195.2,1.86,33.6,0.213,1.21,5.6,1
25,9.1,37.3,1.53,24.9,95.4,-45.9,Line,5.1,56.7,4.56,10.4,0.434,1.41,30.8,0
37,2.8,255.2,1.25,3.9,47.7,-91.0,Random,8.5,276.6,1.03,23.4,0.073,1.18,4.3,1
41,1.6,484.7,2.71,27.7,87.7,-66.3,Grid,3.9,116.5,4.7,27.9,0.239,0.88,6.4,1
25,8.9,346.6,0.66,13.5,33.1,-95.1,Circle,5.2,289.6,4.01,23.5,0.296,1.09,26.7,0
4,4.5,35.5,2.79,11.2,61.4,-54.0,Circle,2.8,126.5,2.26,20.5,0.033,0.67,9.6,1
23,5.9,94.7,0.11,13.8,85.9,-54.9,Wedge,3.3,52.3,0.88,37.3,0.432,1.1,38.8,0
3,9.7,385.7,1.69,25.0,92.9,-70.3,Grid,6.9,266.6,0.59,33.1,0.157,1.0,34.5,0
25,1.6,420.7,1.18,19.8,53.7,-98.3,Grid,2.1,240.6,2.19,32.3,0.328,0.53,29.8,0
45,6.8,308.8,4.86,1.8,67.6,-97.2,Circle,2.7,238.0,3.67,44.7,0.464,0.82,13.7,1
31,1.7,322.2,3.66,28.7,10.3,-85.5,Wedge,5.8,35.9,2.69,49.7,0.36,0.69,2.3,0
39,4.4,14.2,1.81,4.4,32.8,-106.9,Grid,1.4,265.0,3.82,28.8,0.443,0.89,13.5,1
3,8.2,414.3,0.55,22.4,35.1,-89.6,Circle,2.1,183.0,3.52,18.1,0.035,0.74,15.1,0
22,4.9,394.1,2.63,19.1,18.4,-58.4,Wedge,8.8,146.4,3.08,39.2,0.246,1.33,5.1,0
34,10.0,129.5,1.15,5.6,35.2,-45.2,Wedge,8.6,274.8,4.85,8.0,0.282,1.2,4.8,1
13,6.0,354.3,2.73,5.1,38.9,-90.1,Circle,4.1,203.2,3.78,26.1,0.345,1.24,26.7,0
23,3.9,107.4,4.19,26.1,97.2,-99.0,Wedge,4.1,48.6,4.62,26.7,0.058,0.86,9.3,1
